model,mae,perceptual_loss,runtime_sec
Average,0.03434227374382317,0.5438486710190773,0.010553109645843505
CNNU,0.0303221691865474,0.5152965627610684,0.016147053241729735
ESPCN,0.03191546760499477,0.5286196030676364,0.014763462543487548
SRRN,0.03176326132379472,0.5337455585598946,0.0690961241722107
SRGAN,0.03219434269703925,0.5285134620964527,0.06941533088684082
